wallet,deposit,borrow,repay,redeem,deposit_count,borrow_count,repay_count,liquidations,repay_ratio,score
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,6.056302461641713e+19,3.5059576652626915e+19,3.5021753381240435e+19,0,59,45,21,0,0.9989211714744523,750
0x0034d2a08772822866b08d2c585e5c8e25723760,648774022183481.5,0.0,0.0,0,1,0,0,0,0.0,700
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,2563293013287098.0,558877618717347.5,914.9663936533416,0,14,8,2,0,1.637149821374554e-12,600
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,10238696481329.51,0.0,0.0,0,1,0,0,0,0.0,700
0x0036534c48a754163f0f446601f36bcfda840f57,2736446545362116.5,161727752405438.12,149271603816964.4,0,7,8,7,0,0.9229807599301375,750
0x00368bb9dba2ee83f3553feae59710b9c3743e09,2664374365870701.5,788567236346894.1,0.0,0,9,1,0,0,0.0,500
0x0036a2f1f6136bb9d7992f7def692126a279e702,1014717431814.5306,0.0,0.0,0,1,0,0,0,0.0,700
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,3252077668192559.0,2412894443761522.0,1406598403450859.5,0,9,14,14,0,0.5829506579069732,750
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,1405622698906991.5,428562340208470.5,447136694985124.4,0,4,2,2,0,1.043341080244285,900
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1.8382403652310029,0.0,0.0,0,1,0,0,0,0.0,600
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,49782.89705733511,0.0,0.0,0,3,0,0,0,0.0,700
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,55655615174069.04,84007009788684.84,0.0,0,7,13,0,0,0.0,500
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1.0939297118855962,0.0,0.0,0,1,0,0,0,0.0,600
0x00389de87cae34a6f89e13cc8225c4984add8b37,2.6954437198536433e+18,1.6895565436388068e+18,1426082.1549210404,0,328,100,76,0,8.440570753848106e-13,600
